time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-02-20T12:44:24.100Z,-2.7829,128.1777,47.47,4.6,mb,,92,3.622,0.74,us,us10004rbx,2016-02-20T20:46:57.373Z,"31km N of Piru, Indonesia",earthquake,4.8,8.6,0.119,21,reviewed,us,us
2016-02-20T11:31:41.160Z,8.5741,-83.6496,12.19,4.8,mb,,149,0.183,1.12,us,us10004rbq,2016-02-21T04:08:27.118Z,"44km SSW of Ciudad Cortes, Costa Rica",earthquake,5.7,5,0.059,87,reviewed,us,us
2016-02-20T11:08:37.510Z,-7.4394,128.172,142.95,5.1,mb,,33,3.145,0.86,us,us10004rbl,2016-02-20T19:11:06.949Z,"Kepulauan Barat Daya, Indonesia",earthquake,7.8,7.2,0.073,61,reviewed,us,us
2016-02-20T10:21:42.410Z,46.4626,140.8178,14.17,4.5,mb,,82,1.425,0.44,us,us10004rbi,2016-02-20T18:24:14.530Z,"79km W of Gornozavodsk, Russia",earthquake,7.8,5,0.1,29,reviewed,us,us
2016-02-20T03:23:25.440Z,-6.7742,102.222,24.26,4.7,mb,,103,5.006,0.67,us,us10004r9f,2016-02-20T11:26:04.308Z,"256km SW of Biha, Indonesia",earthquake,9.1,6.5,0.106,27,reviewed,us,us
2016-02-20T02:05:49.840Z,-15.7296,-71.8033,10,5,mb,,126,2.975,0.9,us,us10004r90,2016-02-20T10:08:33.438Z,"23km WSW of Chivay, Peru",earthquake,5.8,1.7,0.048,139,reviewed,us,us
2016-02-20T01:26:33.320Z,-3.0432,129.4154,14.88,5.1,mb,,55,2.832,0.64,us,us10004r8u,2016-02-20T09:29:14.060Z,"64km ENE of Amahai, Indonesia",earthquake,7.1,4.5,0.075,57,reviewed,us,us
2016-02-20T00:47:00.880Z,-5.1499,154.0296,142.31,4.6,mb,,193,2.089,0.65,us,us10004r8k,2016-02-20T08:49:37.854Z,"133km SE of Taron, Papua New Guinea",earthquake,12.9,11.8,0.114,23,reviewed,us,us
2016-02-19T23:00:44.920Z,5.5953,127.3947,42.16,4.5,mb,,158,4.791,0.66,us,us10004r79,2016-02-20T07:04:42.189Z,"159km ESE of Pondaguitan, Philippines",earthquake,12.1,11.7,0.135,16,reviewed,us,us
2016-02-19T21:50:49.510Z,-45.7244,-77.6487,10,4.7,mwr,,187,3.867,0.52,us,us10004r6c,2016-02-20T05:53:32.592Z,"Off the coast of Aisen, Chile",earthquake,8.5,1.9,0.093,11,reviewed,us,us
